,Date,Company,COD_Price,Avr_sentiment,Sum_sentiment
81,2017-05-18,Apple,1.524,-2.4674278711,-24.674278711
82,2017-05-19,Apple,0.341,-0.5889701427499998,-4.7117611419999985
83,2017-05-22,Apple,0.608,-0.3746215286,-3.746215286
84,2017-05-23,Apple,-0.12300000000000001,-2.1491065128,-21.491065128
85,2017-05-24,Apple,-0.299,3.7094404441,37.094404441
86,2017-05-25,Apple,0.34600000000000003,0.013618615666666741,0.04085584700000022
87,2017-05-26,Apple,-0.16899999999999998,2.5374497076666667,7.6123491229999996
88,2017-05-30,Apple,0.039,3.7282629929999995,29.826103943999996
89,2017-06-01,Apple,0.275,4.711757728666666,28.270546372
90,2017-06-02,Apple,1.482,2.0922437979,20.922437979
91,2017-06-05,Apple,-0.978,5.213762072,52.13762072
